,:active,an activated element
0,:focus,an element while the element has focus
1,:visited,a visited link
2,:hover,an element when you mouse over it
3,:link,an unvisited link
4,:disabled,an element while the element is disabled
5,:enabled,an element while the element is enabled
6,:checked,an element (form element control) that is checked
7,:selection,an element that is currently selected of highlighted by the user
8,:lang,Allows the author to specify a language to use in a specified element
9,:nth-child(n),an element that is the n-th sibling
10,:nth-last-child(n),an element that is the n-th sibling counting from the last sibling
11,:first-child,an element that is the first sibling
12,:last-child,an element that is the last sibling
13,:only-child,an element that is the only child
14,:nth-of-type(n),an element that is the n-th sibling of its type.
15,:nth-last-of-type(n),an element that is the n-th sibling of its type counting from the last sibling
16,:last-of-type,an element that is the first sibling of its type
17,:first-of-type,an element that is the last sibling of its type
18,:only-of-type,an element that is the only child of that type
19,:empty,an element that has no children
20,:root,root element within the document
21,:not(x),an element not represented by the argument 'x'
22,:target,a target element as specified by a target in a URI
