,0,1,2
0,Universal,Any element,* { font: 10px Arial; }
1,Type,Any element of that type,h1 { text-decoration: underline; }
2,Grouping,Multiple elements of different types,"h1, h2, h3 { font-family: Verdana; }"
3,Class,Multiple elements of different types when you don't want to affect all instances of that type,.sampleclass { textdecoration: underline; }
4,Id,A single element type when you don't want to affect all instances of that type,#sampleid { textdecoration: underline; }
5,Descendant,An element that is below (in the document tree) another element-no matter how many levels below,#gallery h1 { textdecoration: underline; }
6,Child,An element that is directly below (in the document tree) another element,#title > p { font-weight: bold; }
7,Adjacent Sibling,All elements that share the same parent and elements are in the same immediate sequence,h1 + p { font-style: italic; }
8,General Sibling,All elements that share the same parent and elements are in the same sequence (not necessarily immediate),h1 ~ p { font-style: italic; }
9,Attribute,An element with that matches the attribute listed,"E[selected] - att whatever the value E[att=""val""] - att with a specific value E[rel~=""next""] - att with a value is a whitespace separated list *[lang|=""en""] - att value either being exactly ""val"" or beginning with ""val"" immediately followed by ""-"" E[att^=""val""] - att value that begins with the prefix ""val"" E[att$=""val""] - att value that end with the suffix ""val"" E[att*=""val""] - att value contains at least one instance of the substring ""val"""
