,Feature,GitHub,Azure Pipelines,Links
0,Hosted agents for,Free,Up to 10 free Microsoft-hosted parallel jobs,Azure
1,public,,that can run for up to 360 minutes (6 hours),Pipelines
2,repos/projects,,each time with no overall time limit per,GitHub
3,,,month. You aren’t given this free grant by,
4,,,"default, you have to submit a request",
5,Hosted agents for,"2,000 minutes",One free parallel job that can run for up to,
6,private,"free per month,","60 minutes each time, until you’ve used",
7,repos/projects,"3,000 minutes","1,800 minutes (30 hours) per month. You",
8,,for Pro and,can pay for additional capacity per parallel,
9,,"Team licenses,",job. Paid parallel jobs remove the monthly,
10,,"50,000 minutes",time limit and allow you to run each job for,
11,,for Enterprise,up to 360 minutes (6 hours).,
12,,license.,,
13,,Additional,,
14,,minutes may be,,
15,,purchased.,,
16,Cross-platform,Yes,Yes,
17,Scale set agents,No,Yes,Azure virtual
18,,,,machine
19,,,,scale set
20,,,,agents
