,Introduction,1
0,History,3
1,"Of components, managed environments, and code",3
2,"Hello, .NET",5
3,"Hello, strange new world",9
4,Getting Started: Tooling,10
5,"Hello, web?",10
6,Docker all the things!,10
7,Linux .NET?,10
8,Visual Studio Code,11
9,Mac .NET?,12
10,Windows: Visual Studio,14
11,"Hello, dotnet: CLI style",15
12,"Hello, .NET: IDE style",16
13,Solutions and projects,18
14,"Goodbye, HelloWorld",19
15,"C#, Succinctly",20
16,C# Basics,20
17,"Starting exploration: classes, properties, and methods",21
18,"Lambdas, type inference, and extension classes",25
19,Language-INtegrated Query (LINQ),27
20,Asynchronous programming with Async/Await,28
21,"Frameworks, for the Win!",29
22,ASP.NET Core Web API,30
23,ASP.NET Core MVC,33
24,Entity Framework Core,35
25,Wrapping Up,39
