,Creating a Settings Interface ............................................................................................................................................,46
0,Adding Settings .....................................................................................................................................................................,47
1,Data binding to user settings...........................................................................................................................................,48
2,Summary ..................................................................................................................................................................................,49
3,Containerized microservices ................................................................................................,50
4,Microservices ..........................................................................................................................................................................,51
5,Containerization ....................................................................................................................................................................,53
6,Communication between client and microservices,................................................................................................ 56
7,Communication between microservices ......................................................................................................................,57
8,Summary ..................................................................................................................................................................................,59
9,Accessing remote data ..........................................................................................................,60
10,Introduction to Representational State Transfer,...................................................................................................... 60
11,Consuming RESTful APIs ....................................................................................................................................................,61
12,Making web requests ..........................................................................................................................................................,61
13,Making a GET request .........................................................................................................................................................,61
14,Making a POST request ......................................................................................................................................................,64
15,Making a DELETE request ..................................................................................................................................................,67
16,Caching data ...........................................................................................................................................................................,68
17,Managing data expiration .................................................................................................................................................,69
18,Caching images .....................................................................................................................................................................,69
19,Increasing resilience .............................................................................................................................................................,70
20,Retry pattern ...........................................................................................................................................................................,70
21,Circuit breaker pattern ........................................................................................................................................................,71
22,Summary ..................................................................................................................................................................................,72
23,Authentication and authorization .......................................................................................,73
24,Authentication ........................................................................................................................................................................,73
25,Issuing bearer tokens using IdentityServer ............................................................................................................,74
26,Adding IdentityServer to a web application ..........................................................................................................,75
27,Configuring IdentityServer ...........................................................................................................................................,75
28,Configuring API resources ............................................................................................................................................,76
29,Configuring identity resources ...................................................................................................................................,76
