,Design a microservice domain model ........................................................................................................................,199
0,The Domain Entity pattern .........................................................................................................................................,199
1,Implement a microservice domain model with .NET ............................................................................................,204
2,Domain model structure in a custom .NET Standard Library .......................................................................,204
3,Structure aggregates in a custom .NET Standard library ...............................................................................,205
4,Implement domain entities as POCO classes .....................................................................................................,206
5,Encapsulate data in the Domain Entities ..............................................................................................................,207
6,Seedwork (reusable base classes and interfaces for your domain model),.................................................. 210
7,The custom Entity base class .....................................................................................................................................,211
8,Repository contracts (interfaces) in the domain model layer ......................................................................,212
9,Additional resources .....................................................................................................................................................,213
10,Implement value objects ..................................................................................................................................................,213
11,Important characteristics of value objects ...........................................................................................................,214
12,Value object implementation in C# ........................................................................................................................,215
13,How to persist value objects in the database with EF Core 2.0 and later,................................................ 217
14,Persist value objects as owned entity types in EF Core 2.0 and later,........................................................ 218
15,Additional resources .....................................................................................................................................................,221
16,Use enumeration classes instead of enum types ...................................................................................................,221
17,Implement an Enumeration base class ..................................................................................................................,222
18,Additional resources .....................................................................................................................................................,223
19,Design validations in the domain model layer .......................................................................................................,223
20,Implement validations in the domain model layer ...........................................................................................,224
21,Additional resources .....................................................................................................................................................,225
22,Client-side validation (validation in the presentation layers) ............................................................................,226
23,Additional resources .....................................................................................................................................................,227
24,Domain events: Design and implementation ..........................................................................................................,227
25,What is a domain event? .............................................................................................................................................,228
26,Domain events versus integration events ............................................................................................................,228
27,Domain events as a preferred way to trigger side effects across multiple aggregates same domain ...................................................................................................................................................................,within the 229
28,Implement domain events ..........................................................................................................................................,231
29,Conclusions on domain events .................................................................................................................................,237
