,Unnamed: 0,Unnamed: 1,Cloud-Native
0,Cloud Infrastructure-Ready,Cloud-Optimized,
1,,,"Modernize, rearchitect, and"
2,Lift and shift,Modernize,
3,,,rewrite
4,Application’s compute target,,
5,Applications deployed to VMs,Monolithic or N-Tier apps,Containerized microservices on
6,in Azure,"deployed to Azure App Service,",Azure Kubernetes Service (AKS)
7,,"Azure Container Instance (ACI),",and/or serverless microservices
8,,"VMs with containers, or AKS",based on Azure Functions.
9,,(Azure Kubernetes Service),
10,Data target,,
11,SQL or any relational database,Azure SQL Database Managed,Fined-grain databases per
12,on a VM,Instance or another managed,"microservice, based on Azure"
13,,database in the cloud.,"SQL Database, Azure Cosmos"
14,,,"DB, or another managed"
15,,,database in the cloud
16,Advantages,,
17,,,
18,Challenges,,
