,Next steps ...........................................................................................................................................................................,43
0,Walkthrough 3: Deploy your Windows Containers-based app to Azure VMs.............................................,44
1,Technical walkthrough availability ............................................................................................................................,44
2,Overview..............................................................................................................................................................................,44
3,Goals......................................................................................................................................................................................,44
4,Scenarios..............................................................................................................................................................................,44
5,Azure VMs for Windows Containers.........................................................................................................................,46
6,Benefits.................................................................................................................................................................................,46
7,Next steps ...........................................................................................................................................................................,46
8,Walkthrough 4: Deploy your Windows Containers-based apps to Azure Container,Instances (ACI). 47
9,Technical walkthrough availability ............................................................................................................................,47
10,Overview..............................................................................................................................................................................,47
11,Goals......................................................................................................................................................................................,47
12,Scenarios..............................................................................................................................................................................,47
13,Benefits.................................................................................................................................................................................,47
14,Considerations...................................................................................................................................................................,48
15,Next steps ...........................................................................................................................................................................,48
16,Walkthrough 5: Deploy your Windows Containers-based apps to Kubernetes in Azure Service,Container 48
17,....................................................................................................................................................................................... Technical walkthrough availability ............................................................................................................................,48
18,Overview..............................................................................................................................................................................,48
19,Goals......................................................................................................................................................................................,49
20,Scenarios..............................................................................................................................................................................,49
21,Benefits.................................................................................................................................................................................,50
22,Next steps ...........................................................................................................................................................................,51
23,Walkthrough 6: Deploy your Windows Containers-based apps to Azure App Service for ......................................................................................................................................................................................................,Containers 51
24,Technical walkthrough availability ............................................................................................................................,51
25,Overview..............................................................................................................................................................................,51
26,Goals......................................................................................................................................................................................,51
27,Scenario ...............................................................................................................................................................................,52
28,Benefits.................................................................................................................................................................................,52
