,Project,Description
0,eShopOnContainers.Core,This project is the portable class library (PCL) project
1,,that contains the shared code and shared UI.
2,eShopOnContainers.Droid,This project holds Android specific code and is the
3,,entry point for the Android app.
4,eShopOnContainers.iOS,This project holds iOS specific code and is the entry
5,,point for the iOS app.
6,eShopOnContainers.UWP,This project holds Universal Windows Platform (UWP)
7,,specific code and is the entry point for the Windows
8,,app.
9,eShopOnContainers.TestRunner.Droid,This project is the Android test runner for the
10,,eShopOnContainers.UnitTests project.
11,eShopOnContainers.TestRunner.iOS,This project is the iOS test runner for the
12,,eShopOnContainers.UnitTests project.
13,eShopOnContainers.TestRunner.Windows,This project is the Universal Windows Platform test
14,,runner for the eShopOnContainers.UnitTests project.
15,eShopOnContainers.UnitTests,This project contains unit tests for the
16,,eShopOnContainers.Core project.
