,Folder,Description
0,Animations,Contains classes that enable animations to be consumed in XAML.
1,Behaviors,Contains behaviors that are exposed to view classes.
2,Controls,Contains custom controls used by the app.
3,Converters,Contains value converters that apply custom logic to a binding.
4,Effects,"Contains the EntryLineColorEffect class, which is used to change the bordercolor of specific Entry controls."
5,Exceptions,Contains the custom ServiceAuthenticationException.
6,Extensions,Contains extension methods for the VisualElement and IEnumerable<T> classes.
7,Helpers,Contains helper classes for the app.
8,Models,Contains the model classes for the app.
9,Properties,"Contains AssemblyInfo.cs, a .NET assembly metadata file."
10,Services,"Contains interfaces and classes that implement services that are provided to theapp."
11,Triggers,"Contains the BeginAnimation trigger, which is used to invoke an animation inXAML."
12,Validations,Contains classes involved in validating data input.
13,ViewModels,Contains the application logic that's exposed to pages.
14,Views,Contains the pages for the app.
